group,block,beat_interval_ms,beat_index,beat_time_sec,press_time_sec,reaction_time
1,1,1000,1,1.0,1.0002,0.0002
1,1,1000,2,2.0,2.001,0.001
1,1,1000,3,3.0,3.002,0.002
1,1,1000,4,4.0,4.003,0.003
1,1,1000,5,5.0,5.0041,0.0041
1,1,1000,6,6.0,6.0051,0.0051
1,1,1000,7,7.0,7.006,0.006
1,1,1000,8,8.0,8.0071,0.0071
1,1,1000,9,9.0,9.0081,0.0081
1,1,1000,10,10.0,10.0091,0.0091
1,1,1000,11,11.0,11.01,0.01
1,1,1000,12,12.0,12.0111,0.0111
1,1,1000,13,13.0,13.012,0.012
1,1,1000,14,14.0,14.013,0.013
1,1,1000,15,15.0,F,F
1,1,1000,16,16.0,F,F
1,1,1000,17,17.0,F,F
1,1,1000,18,18.0,F,F
1,1,1000,19,19.0,F,F
1,2,750,1,1.0,F,F
1,2,750,2,1.75,F,F
1,2,750,3,2.5,F,F
1,2,750,4,3.25,F,F
1,2,750,5,4.0,F,F
1,2,750,6,4.75,F,F
1,2,750,7,5.5,F,F
1,2,750,8,6.25,F,F
1,2,750,9,7.0,F,F
1,2,750,10,7.75,F,F
1,2,750,11,8.5,F,F
1,2,750,12,9.25,F,F
1,2,750,13,10.0,F,F
1,2,750,14,10.75,F,F
1,2,750,15,11.5,F,F
1,2,750,16,12.25,F,F
1,2,750,17,13.0,F,F
1,2,750,18,13.75,F,F
1,2,750,19,14.5,F,F
1,2,750,20,15.25,F,F
1,2,750,21,16.0,F,F
1,2,750,22,16.75,F,F
1,2,750,23,17.5,F,F
1,2,750,24,18.25,F,F
1,2,750,25,19.0,F,F
1,3,450,1,1.0,F,F
1,3,450,2,1.45,1.4504,0.0004
1,3,450,3,1.9,1.9009,0.0009
1,3,450,4,2.35,2.3514,0.0014
1,3,450,5,2.8,2.8018,0.0018
1,3,450,6,3.25,3.2523,0.0023
1,3,450,7,3.7,3.7027,0.0027
1,3,450,8,4.15,4.1532,0.0032
1,3,450,9,4.6,4.6037,0.0037
1,3,450,10,5.05,5.0541,0.0041
1,3,450,11,5.5,5.5045,0.0045
1,3,450,12,5.95,5.955,0.005
1,3,450,13,6.4,6.4054,0.0054
1,3,450,14,6.85,6.8559,0.0059
1,3,450,15,7.3,7.3063,0.0063
1,3,450,16,7.75,7.7568,0.0068
1,3,450,17,8.2,8.2072,0.0072
1,3,450,18,8.65,8.6577,0.0077
1,3,450,19,9.1,9.1082,0.0082
1,3,450,20,9.55,9.5586,0.0086
1,3,450,21,10.0,10.0091,0.0091
1,3,450,22,10.45,10.4595,0.0095
1,3,450,23,10.9,10.91,0.01
1,3,450,24,11.35,11.3605,0.0105
1,3,450,25,11.8,11.8108,0.0108
1,3,450,26,12.25,12.2613,0.0113
1,3,450,27,12.7,12.7117,0.0117
1,3,450,28,13.15,13.1622,0.0122
1,3,450,29,13.6,13.6127,0.0127
1,3,450,30,14.05,14.0632,0.0132
1,3,450,31,14.5,14.5136,0.0136
1,3,450,32,14.95,14.964,0.014
1,3,450,33,15.4,15.4144,0.0144
1,3,450,34,15.85,15.8649,0.0149
1,3,450,35,16.3,16.3154,0.0154
1,3,450,36,16.75,16.7658,0.0158
1,3,450,37,17.2,17.2163,0.0163
1,3,450,38,17.65,17.6664,0.0164
1,3,450,39,18.1,18.1171,0.0171
1,3,450,40,18.55,18.5676,0.0176
1,3,450,41,19.0,F,F
2,1,750,1,1.0,0.9953,-0.0047
2,1,750,2,1.75,1.7508,0.0008
2,1,750,3,2.5,2.5014,0.0014
2,1,750,4,3.25,3.2521,0.0021
2,1,750,5,4.0,4.0028,0.0028
2,1,750,6,4.75,4.7537,0.0037
2,1,750,7,5.5,F,F
2,1,750,8,6.25,6.2551,0.0051
2,1,750,9,7.0,7.0062,0.0062
2,1,750,10,7.75,7.7569,0.0069
2,1,750,11,8.5,8.5076,0.0076
2,1,750,12,9.25,F,F
2,1,750,13,10.0,10.0089,0.0089
2,1,750,14,10.75,10.76,0.01
2,1,750,15,11.5,F,F
2,1,750,16,12.25,12.2612,0.0112
2,1,750,17,13.0,F,F
2,1,750,18,13.75,13.7628,0.0128
2,1,750,19,14.5,F,F
2,1,750,20,15.25,15.2639,0.0139
2,1,750,21,16.0,16.0147,0.0147
2,1,750,22,16.75,16.7661,0.0161
2,1,750,23,17.5,17.5167,0.0167
2,1,750,24,18.25,18.2673,0.0173
2,1,750,25,19.0,F,F
2,2,1000,1,1.0,F,F
2,2,1000,2,2.0,F,F
2,2,1000,3,3.0,F,F
2,2,1000,4,4.0,F,F
2,2,1000,5,5.0,F,F
2,2,1000,6,6.0,F,F
2,2,1000,7,7.0,F,F
2,2,1000,8,8.0,F,F
2,2,1000,9,9.0,F,F
2,2,1000,10,10.0,F,F
2,2,1000,11,11.0,F,F
2,2,1000,12,12.0,F,F
2,2,1000,13,13.0,F,F
2,2,1000,14,14.0,F,F
2,2,1000,15,15.0,F,F
2,2,1000,16,16.0,F,F
2,2,1000,17,17.0,F,F
2,2,1000,18,18.0,F,F
2,2,1000,19,19.0,F,F
2,3,450,1,1.0,F,F
2,3,450,2,1.45,F,F
2,3,450,3,1.9,F,F
2,3,450,4,2.35,F,F
2,3,450,5,2.8,F,F
2,3,450,6,3.25,F,F
2,3,450,7,3.7,F,F
2,3,450,8,4.15,F,F
2,3,450,9,4.6,F,F
2,3,450,10,5.05,F,F
2,3,450,11,5.5,F,F
2,3,450,12,5.95,F,F
2,3,450,13,6.4,F,F
2,3,450,14,6.85,F,F
2,3,450,15,7.3,F,F
2,3,450,16,7.75,F,F
2,3,450,17,8.2,F,F
2,3,450,18,8.65,F,F
2,3,450,19,9.1,F,F
2,3,450,20,9.55,F,F
2,3,450,21,10.0,F,F
2,3,450,22,10.45,F,F
2,3,450,23,10.9,F,F
2,3,450,24,11.35,F,F
2,3,450,25,11.8,F,F
2,3,450,26,12.25,F,F
2,3,450,27,12.7,F,F
2,3,450,28,13.15,F,F
2,3,450,29,13.6,F,F
2,3,450,30,14.05,F,F
2,3,450,31,14.5,F,F
2,3,450,32,14.95,F,F
2,3,450,33,15.4,F,F
2,3,450,34,15.85,F,F
2,3,450,35,16.3,F,F
2,3,450,36,16.75,F,F
2,3,450,37,17.2,F,F
2,3,450,38,17.65,F,F
2,3,450,39,18.1,F,F
2,3,450,40,18.55,F,F
2,3,450,41,19.0,F,F
3,1,1000,1,1.0,F,F
3,1,1000,2,2.0,F,F
3,1,1000,3,3.0,F,F
3,1,1000,4,4.0,F,F
